epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8641,1.59643,1.81652,1.02152,0.3142,0.24227,0.21224,0.11868,1.46357,1.17614,0.95146,0.0033251,0.0033251,0.0033251
2,85.5304,1.51738,1.24332,0.96278,0.35827,0.28358,0.25793,0.14462,1.43894,1.1295,0.94105,0.00659252,0.00659252,0.00659252
3,124.375,1.54336,1.2266,0.96144,0.36953,0.27547,0.26113,0.14944,1.47928,1.15257,0.9465,0.00979393,0.00979393,0.00979393
4,164.817,1.53456,1.19344,0.96086,0.35752,0.29962,0.27117,0.15365,1.43678,1.11176,0.93955,0.009703,0.009703,0.009703
5,205.969,1.49574,1.15355,0.95225,0.37166,0.3031,0.28002,0.16135,1.41829,1.07965,0.93251,0.009604,0.009604,0.009604
6,247.51,1.47955,1.11646,0.94586,0.39443,0.2995,0.28775,0.16858,1.3973,1.07783,0.92527,0.009505,0.009505,0.009505
7,285.201,1.45785,1.08857,0.94193,0.40991,0.30951,0.29641,0.17079,1.38516,1.04338,0.92777,0.009406,0.009406,0.009406
8,323.453,1.43633,1.07061,0.93654,0.41912,0.3128,0.31027,0.17681,1.38767,1.04177,0.92365,0.009307,0.009307,0.009307
9,364.998,1.4207,1.05211,0.93223,0.43984,0.31679,0.31924,0.18473,1.35056,1.01717,0.91792,0.009208,0.009208,0.009208
10,403.396,1.41098,1.03862,0.9274,0.40834,0.32542,0.31189,0.1815,1.35305,1.01403,0.91579,0.009109,0.009109,0.009109
11,441.311,1.38976,1.01314,0.92596,0.44996,0.3282,0.32723,0.18893,1.33466,0.99959,0.91271,0.00901,0.00901,0.00901
12,481.203,1.38317,1.0112,0.92318,0.4437,0.33645,0.32948,0.18993,1.34138,0.98727,0.91253,0.008911,0.008911,0.008911
13,521.43,1.37316,0.99266,0.92203,0.44588,0.33693,0.33243,0.19156,1.32261,0.98021,0.90935,0.008812,0.008812,0.008812
